file	kept	input_total
surgery_clinical_trials_pubmed25n0385.xml	0	41
surgery_clinical_trials_pubmed25n0386.xml	18	507
surgery_clinical_trials_pubmed25n0387.xml	10	630
surgery_clinical_trials_pubmed25n0388.xml	18	774
surgery_clinical_trials_pubmed25n0389.xml	17	654
surgery_clinical_trials_pubmed25n0390.xml	16	693
surgery_clinical_trials_pubmed25n0391.xml	20	676
surgery_clinical_trials_pubmed25n0392.xml	10	598
surgery_clinical_trials_pubmed25n0393.xml	22	604
surgery_clinical_trials_pubmed25n0394.xml	23	669
surgery_clinical_trials_pubmed25n0395.xml	17	700
surgery_clinical_trials_pubmed25n0396.xml	21	635
surgery_clinical_trials_pubmed25n0397.xml	23	677
surgery_clinical_trials_pubmed25n0398.xml	16	653
surgery_clinical_trials_pubmed25n0399.xml	25	677
surgery_clinical_trials_pubmed25n0400.xml	17	663
surgery_clinical_trials_pubmed25n0401.xml	25	812
surgery_clinical_trials_pubmed25n0402.xml	14	628
surgery_clinical_trials_pubmed25n0403.xml	17	655
surgery_clinical_trials_pubmed25n0404.xml	8	234
surgery_clinical_trials_pubmed25n0405.xml	9	466
surgery_clinical_trials_pubmed25n0406.xml	27	772
surgery_clinical_trials_pubmed25n0407.xml	21	706
surgery_clinical_trials_pubmed25n0408.xml	14	748
surgery_clinical_trials_pubmed25n0409.xml	17	818
surgery_clinical_trials_pubmed25n0410.xml	19	652
surgery_clinical_trials_pubmed25n0411.xml	19	831
surgery_clinical_trials_pubmed25n0412.xml	23	707
surgery_clinical_trials_pubmed25n0413.xml	33	722
surgery_clinical_trials_pubmed25n0414.xml	28	768
surgery_clinical_trials_pubmed25n0415.xml	29	769
surgery_clinical_trials_pubmed25n0416.xml	27	800
surgery_clinical_trials_pubmed25n0417.xml	19	673
surgery_clinical_trials_pubmed25n0418.xml	33	745
surgery_clinical_trials_pubmed25n0419.xml	21	774
surgery_clinical_trials_pubmed25n0420.xml	28	820
surgery_clinical_trials_pubmed25n0421.xml	29	752
surgery_clinical_trials_pubmed25n0422.xml	33	767
surgery_clinical_trials_pubmed25n0423.xml	36	836
surgery_clinical_trials_pubmed25n0424.xml	19	617
surgery_clinical_trials_pubmed25n0425.xml	0	0
surgery_clinical_trials_pubmed25n0426.xml	0	0
surgery_clinical_trials_pubmed25n0428.xml	0	0
surgery_clinical_trials_pubmed25n0429.xml	0	30
surgery_clinical_trials_pubmed25n0430.xml	0	0
surgery_clinical_trials_pubmed25n0431.xml	0	0
surgery_clinical_trials_pubmed25n0432.xml	0	0
surgery_clinical_trials_pubmed25n0433.xml	0	0
surgery_clinical_trials_pubmed25n0434.xml	0	0
surgery_clinical_trials_pubmed25n0435.xml	0	0
surgery_clinical_trials_pubmed25n0436.xml	0	0
surgery_clinical_trials_pubmed25n0437.xml	0	0
surgery_clinical_trials_pubmed25n0438.xml	0	0
surgery_clinical_trials_pubmed25n0440.xml	0	0
surgery_clinical_trials_pubmed25n0441.xml	0	0
surgery_clinical_trials_pubmed25n0442.xml	0	0
surgery_clinical_trials_pubmed25n0443.xml	0	0
surgery_clinical_trials_pubmed25n0445.xml	0	0
surgery_clinical_trials_pubmed25n0446.xml	0	0
surgery_clinical_trials_pubmed25n0447.xml	0	0
surgery_clinical_trials_pubmed25n0448.xml	3	58
surgery_clinical_trials_pubmed25n0449.xml	0	0
surgery_clinical_trials_pubmed25n0450.xml	0	0
surgery_clinical_trials_pubmed25n0451.xml	0	0
surgery_clinical_trials_pubmed25n0452.xml	0	0
surgery_clinical_trials_pubmed25n0453.xml	0	0
surgery_clinical_trials_pubmed25n0454.xml	0	0
surgery_clinical_trials_pubmed25n0455.xml	0	0
surgery_clinical_trials_pubmed25n0457.xml	0	0
surgery_clinical_trials_pubmed25n0458.xml	0	0
surgery_clinical_trials_pubmed25n0459.xml	0	0
surgery_clinical_trials_pubmed25n0460.xml	0	0
surgery_clinical_trials_pubmed25n0461.xml	0	0
surgery_clinical_trials_pubmed25n0462.xml	0	0
surgery_clinical_trials_pubmed25n0463.xml	0	0
surgery_clinical_trials_pubmed25n0464.xml	0	0
surgery_clinical_trials_pubmed25n0465.xml	0	0
surgery_clinical_trials_pubmed25n0466.xml	0	0
surgery_clinical_trials_pubmed25n0467.xml	0	0
surgery_clinical_trials_pubmed25n0468.xml	0	0
surgery_clinical_trials_pubmed25n0469.xml	0	0
surgery_clinical_trials_pubmed25n0470.xml	0	0
surgery_clinical_trials_pubmed25n0471.xml	0	0
surgery_clinical_trials_pubmed25n0472.xml	0	0
surgery_clinical_trials_pubmed25n0473.xml	0	0
surgery_clinical_trials_pubmed25n0474.xml	0	0
surgery_clinical_trials_pubmed25n0475.xml	17	529
surgery_clinical_trials_pubmed25n0476.xml	28	865
surgery_clinical_trials_pubmed25n0477.xml	24	807
surgery_clinical_trials_pubmed25n0478.xml	43	903
surgery_clinical_trials_pubmed25n0479.xml	29	866
surgery_clinical_trials_pubmed25n0480.xml	33	851
surgery_clinical_trials_pubmed25n0481.xml	34	748
surgery_clinical_trials_pubmed25n0482.xml	41	927
surgery_clinical_trials_pubmed25n0483.xml	3	135
surgery_clinical_trials_pubmed25n0484.xml	0	0
surgery_clinical_trials_pubmed25n0485.xml	0	0
surgery_clinical_trials_pubmed25n0486.xml	2	23
surgery_clinical_trials_pubmed25n0487.xml	0	0
surgery_clinical_trials_pubmed25n0488.xml	0	0
surgery_clinical_trials_pubmed25n0489.xml	15	409
surgery_clinical_trials_pubmed25n0490.xml	26	748
surgery_clinical_trials_pubmed25n0491.xml	26	772
surgery_clinical_trials_pubmed25n0492.xml	34	861
surgery_clinical_trials_pubmed25n0493.xml	35	799
surgery_clinical_trials_pubmed25n0494.xml	28	893
surgery_clinical_trials_pubmed25n0495.xml	37	816
surgery_clinical_trials_pubmed25n0496.xml	31	838
surgery_clinical_trials_pubmed25n0497.xml	35	750
surgery_clinical_trials_pubmed25n0498.xml	32	668
surgery_clinical_trials_pubmed25n0499.xml	38	788
surgery_clinical_trials_pubmed25n0500.xml	29	717
surgery_clinical_trials_pubmed25n0501.xml	40	853
surgery_clinical_trials_pubmed25n0502.xml	20	662
surgery_clinical_trials_pubmed25n0503.xml	0	0
surgery_clinical_trials_pubmed25n0504.xml	16	303
surgery_clinical_trials_pubmed25n0505.xml	26	726
surgery_clinical_trials_pubmed25n0506.xml	34	801
surgery_clinical_trials_pubmed25n0507.xml	25	776
surgery_clinical_trials_pubmed25n0508.xml	38	868
surgery_clinical_trials_pubmed25n0509.xml	30	784
surgery_clinical_trials_pubmed25n0510.xml	21	716
surgery_clinical_trials_pubmed25n0511.xml	45	857
surgery_clinical_trials_pubmed25n0512.xml	36	848
surgery_clinical_trials_pubmed25n0513.xml	38	889
surgery_clinical_trials_pubmed25n0514.xml	33	946
surgery_clinical_trials_pubmed25n0515.xml	39	936
surgery_clinical_trials_pubmed25n0516.xml	24	819
surgery_clinical_trials_pubmed25n0517.xml	39	929
surgery_clinical_trials_pubmed25n0518.xml	19	792
surgery_clinical_trials_pubmed25n0519.xml	36	858
surgery_clinical_trials_pubmed25n0520.xml	32	892
surgery_clinical_trials_pubmed25n0521.xml	21	842
surgery_clinical_trials_pubmed25n0522.xml	27	675
surgery_clinical_trials_pubmed25n0523.xml	32	769
surgery_clinical_trials_pubmed25n0524.xml	30	792
surgery_clinical_trials_pubmed25n0525.xml	29	804
surgery_clinical_trials_pubmed25n0526.xml	32	894
surgery_clinical_trials_pubmed25n0528.xml	25	893
surgery_clinical_trials_pubmed25n0529.xml	29	754
